ticker,removal_date,company,reason,fate
XMSR,2007-12-24,XM Satellite Radio,Annual index reconstitution.,
SEPR,2007-12-24,Sepracor,Annual index reconstitution.,
MNST,2008-11-10,Monster Worldwide,Monster did not meet the minimum monthly weighting requirements.,
LEAP,2008-12-22,Leap Wireless International,Annual index reconstitution.,
LVLT,2008-12-22,Level 3 Communications,Annual index reconstitution.,
PETM,2008-12-22,PetSmart,Annual index reconstitution.,
WFMI,2008-12-22,Whole Foods Market,Annual index reconstitution.,
SNDK,2008-12-22,SanDisk,Annual index reconstitution.,
JNPR,2009-10-29,Juniper Networks,Joy Global transferred its listing from NASDAQ to NYSE.,
IACI,2009-12-21,IAC/InterActiveCorp,Annual index reconstitution.,
PPDI,2009-12-21,Pharmaceutical Product Development,Annual index reconstitution.,
HOLX,2010-12-20,Hologic,Annual index reconstitution.,
FWLT,2010-12-20,Foster Wheeler,Annual index reconstitution.,
DISH,2010-12-20,Dish Network,Annual index reconstitution.,
PDCO,2010-12-20,Patterson Companies,Annual index reconstitution.,
MICC,2011-05-27,Millicom International Cellular,"Millicom consolidated its primary listing to NASDAQ OMX Stockholm, withdrawing the NASDAQ US listing.",
JOYG,2011-12-06,Joy Global,Joy Global transferred its listing from NASDAQ to NYSE.,
FLIR,2011-12-19,FLIR Systems,Annual index reconstitution.,
APOL,2012-12-24,Apollo Group,Annual index reconstitution.,
GMCR,2012-12-24,Green Mountain Coffee Roasters,Annual index reconstitution.,
WCRX,2012-12-24,Warner Chilcott,Annual index reconstitution.,
STRZA,2013-03-18,Starz,Starz did not meet the minimum monthly weight requirements.,
NUAN,2013-12-23,Nuance Communications,Annual index reconstitution.,
MXIM,2014-12-22,Maxim Integrated Products,Annual index reconstitution.,
SPLS,2015-12-21,Staples,Annual index reconstitution.,
GMCR,2015-12-21,Keurig Green Mountain,Annual index reconstitution.,
LMCK,2016-06-20,Liberty Media,Liberty Media did not meet the minimum monthly weight requirements.,
LMCA,2016-06-20,Liberty Media,Liberty Media did not meet the minimum monthly weight requirements.,
LLTC,2016-10-19,Linear Technology,Linear Technology did not meet the minimum monthly weight requirements.,
WFM,2016-12-19,Whole Foods Market,Annual index reconstitution.,
SRCL,2016-12-19,Stericycle,Annual index reconstitution.,
VIAB,2017-12-18,Viacom,Annual index reconstitution.,
DISH,2018-07-23,Dish Network,Dish Network did not meet the minimum monthly weight requirement.,
ESRX,2018-12-24,Express Scripts,Annual index reconstitution.,
HOLX,2018-12-24,Hologic,Annual index reconstitution.,
CTXS,2020-12-21,Citrix Systems,Annual index reconstitution.,
SPLK,2022-12-19,Splunk,Annual index reconstitution.,
FI,2023-06-07,Fiserv,Fiserv transferred its listing from NASDAQ to the NYSE.,
WBA,2024-07-22,Walgreens Boots Alliance,WBA did not meet the minimum monthly weight requirements.,
